Year,Month,Day,Cases
2022,Jun,16,4583
2022,Jun,15,5693
2022,Jun,14,3310
2022,Jun,13,2998
2022,Jun,12,3583
2022,Jun,11,6385
2022,Jun,10,6202
2022,Jun,9,4846
2022,Jun,8,6195
2022,Jun,7,3722
2022,Jun,6,4282
2022,Jun,5,4404
2022,Jun,4,5708
2022,Jun,3,5051
2022,Jun,2,5047
2022,Jun,1,4454
2022,May,31,2151
2022,May,30,2901
2022,May,29,4108
2022,May,28,5685
2022,May,27,5800
2022,May,26,6245
2022,May,25,4202
2022,May,24,3589
2022,May,23,2476
2022,May,22,4750
2022,May,21,5152
2022,May,20,3180
2022,May,19,4725
2022,May,18,4384
2022,May,17,2233
2022,May,16,1941
2022,May,15,2707
2022,May,14,3489
2022,May,13,4025
2022,May,12,3407
2022,May,11,2997
2022,May,10,2044
2022,May,9,1695
2022,May,8,2146
2022,May,7,3238
2022,May,6,3270
2022,May,5,3003
2022,May,4,2484
2022,May,3,1888
2022,May,2,1368
2022,May,1,1824
2022,Apr,30,2728
2022,Apr,29,2550
2022,Apr,28,2335
2022,Apr,27,1686
2022,Apr,26,1583
2022,Apr,25,1069
2022,Apr,24,1593
2022,Apr,23,2028
2022,Apr,22,2056
2022,Apr,19,857
2022,Apr,18,1117
2022,Apr,17,1117
2022,Apr,16,1117
2022,Apr,15,1355
2022,Apr,14,1214
2022,Apr,13,973
2022,Apr,12,795
2022,Apr,11,742
2022,Apr,10,908
2022,Apr,9,1225
2022,Apr,6,789
2022,Apr,1,1167
2022,Mar,31,784
2022,Mar,30,587
2022,Mar,29,751
2022,Mar,28,429
2022,Mar,27,617
2022,Mar,26,789
2022,Mar,25,889
2022,Mar,24,734
2022,Mar,23,714
2022,Mar,22,429
2022,Mar,21,370
2022,Mar,20,565
2022,Mar,19,727
2022,Mar,18,723
2022,Mar,17,1331
2022,Mar,16,864
2022,Mar,15,698
2022,Mar,14,291
2022,Mar,13,1136
2022,Mar,12,1029
2022,Mar,11,1297
2022,Mar,10,1372
2022,Mar,09,1157
2022,Mar,08,852
2022,Mar,07,1144
2022,Mar,06,531
2022,Mar,05,1382
2022,Mar,04,1427
2022,Mar,03,1605
2022,Mar,02,1626
2022,Mar,01,1093
2022,Feb,28,664
2022,Feb,27,2169
2022,Feb,26,2275
2022,Feb,25,2406
2022,Feb,24,1985
2022,Feb,23,1934
2022,Feb,22,1188
2022,Feb,21,1345
2022,Feb,20,2780
2022,Feb,19,3221
2022,Feb,18,2983
2022,Feb,17,3312
2022,Feb,16,3348
2022,Feb,15,2133
2022,Feb,14,2547
2022,Feb,13,4889
2022,Feb,12,4760
2022,Feb,11,5610
2022,Feb,10,6276
2022,Feb,9,5100
2022,Feb,8,4198
2022,Feb,7,4360
2022,Feb,6,7017
2022,Feb,5,9997
2022,Feb,4,15427
2022,Feb,3,11548
2022,Feb,2,15664
2022,Feb,1,8786
2022,Jan,31,10715
2022,Jan,30,16835
2022,Jan,29,21709
2022,Jan,28,23796
2022,Jan,27,26010
2022,Jan,26,20866
2022,Jan,25,18822
2022,Jan,24,25784
2022,Jan,23,26354
2022,Jan,22,39117
2022,Jan,21,43091
2022,Jan,20,42115
2022,Jan,19,30081
2022,Jan,18,22688
2022,Jan,17,31576
2022,Jan,16,43883
2022,Jan,15,41765
2022,Jan,14,40535
2022,Jan,13,45076
2022,Jan,12,40452
2022,Jan,11,34827
2022,Jan,10,43582
2022,Jan,9,45584
2022,Jan,8,34448
2022,Jan,7,43712
2022,Jan,6,37215
2022,Jan,5,26754
2022,Jan,4,21790
2022,jan,3,16269
2022,jan,2,21200
2022,Jan,1,23653
2021,dec,31,27091
2021,Dec,30,20198
2021,Dec,29,16510
2021,Dec,28,9473
2021,dec,27,7425
2021,dec,26,8891
2021,dec,25,11930
2021,Dec,24,9988
2021,Dec,23,8633
2021,Dec,22,6509
2021,Dec,20,3528
2021,Dec,21,3052
2021,Dec,19,3512
2021,Dec,18,3730
2021,Dec,17,3360
2021,Dec,15,1850
2021,Dec,13,1123

